name,kind,def_oid,inst_oid,access,syntax,default
phase,branch,1.3.6.1.4.1.1206.4.2.1.1,—,read-only,,—
maxPhases,scalar,1.3.6.1.4.1.1206.4.2.1.1.1,1.3.6.1.4.1.1206.4.2.1.1.1.0,read-only,INTEGER (2..255),255
phaseTable,table,1.3.6.1.4.1.1206.4.2.1.1.2,—,not-accessible,SEQUENCE OF PhaseEntry,—
phaseEntry,entry,1.3.6.1.4.1.1206.4.2.1.1.2.1,—,not-accessible,PhaseEntry,—
phaseNumber,column,1.3.6.1.4.1.1206.4.2.1.1.2.1.1,1.3.6.1.4.1.1206.4.2.1.1.2.1.1.1,read-only,INTEGER (1..255),1
phaseRedRevert,column,1.3.6.1.4.1.1206.4.2.1.1.2.1.10,1.3.6.1.4.1.1206.4.2.1.1.2.1.10.1,read-write,INTEGER (0..255),255
phaseAddedInitial,column,1.3.6.1.4.1.1206.4.2.1.1.2.1.11,1.3.6.1.4.1.1206.4.2.1.1.2.1.11.1,read-write,INTEGER (0..255),255
phaseMaximumInitial,column,1.3.6.1.4.1.1206.4.2.1.1.2.1.12,1.3.6.1.4.1.1206.4.2.1.1.2.1.12.1,read-write,INTEGER (0..255),255
phaseTimeBeforeReduction,column,1.3.6.1.4.1.1206.4.2.1.1.2.1.13,1.3.6.1.4.1.1206.4.2.1.1.2.1.13.1,read-write,INTEGER (0..255),255
phaseCarsBeforeReduction,column,1.3.6.1.4.1.1206.4.2.1.1.2.1.14,1.3.6.1.4.1.1206.4.2.1.1.2.1.14.1,read-write,INTEGER (0..255),255
phaseTimeToReduce,column,1.3.6.1.4.1.1206.4.2.1.1.2.1.15,1.3.6.1.4.1.1206.4.2.1.1.2.1.15.1,read-write,INTEGER (0..255),255
phaseReduceBy,column,1.3.6.1.4.1.1206.4.2.1.1.2.1.16,1.3.6.1.4.1.1206.4.2.1.1.2.1.16.1,read-write,INTEGER (0..255),255
phaseMinimumGap,column,1.3.6.1.4.1.1206.4.2.1.1.2.1.17,1.3.6.1.4.1.1206.4.2.1.1.2.1.17.1,read-write,INTEGER (0..255),255
phaseDynamicMaxLimit,column,1.3.6.1.4.1.1206.4.2.1.1.2.1.18,1.3.6.1.4.1.1206.4.2.1.1.2.1.18.1,read-write,INTEGER (0..255),255
phaseDynamicMaxStep,column,1.3.6.1.4.1.1206.4.2.1.1.2.1.19,1.3.6.1.4.1.1206.4.2.1.1.2.1.19.1,read-write,INTEGER (0..255),255
